"Symbol","ShortName","ListedDate","InstitutionID","CoFullName","IndustryCode","IndustryName","FirstSTDate","FirstSTReason","SurvivalTimeofFirstST"
"688236","春立医疗","2021-12-30","10108319","北京市春立正达医疗器械股份有限公司","C35","专用设备制造业","","",""
"688237","超卓航科","2022-07-01","10402197","湖北超卓航空科技股份有限公司","C37","铁路、船舶、航空航天和其它运输设备制造业","","",""
"688238","和元生物","2022-03-22","10400957","和元生物技术(上海)股份有限公司","M73","研究和试验发展","","",""
"688239","航宇科技","2021-07-05","10284824","贵州航宇科技发展股份有限公司","C37","铁路、船舶、航空航天和其它运输设备制造业","","",""
"688244","永信至诚","2022-10-19","10375906","永信至诚科技集团股份有限公司","I65","软件和信息技术服务业","","",""
"688246","嘉和美康","2021-12-14","10309403","嘉和美康(北京)科技股份有限公司","I65","软件和信息技术服务业","","",""
"688247","宣泰医药","2022-08-25","10419765","上海宣泰医药科技股份有限公司","C27","医药制造业","","",""
"688248","南网科技","2021-12-22","10544924","南方电网电力科技股份有限公司","M74","专业技术服务业","","",""
"688249","晶合集成","2023-05-05","10542293","合肥晶合集成电路股份有限公司","","","","",""
"688251","井松智能","2022-06-06","10276392","合肥井松智能科技股份有限公司","C34","通用设备制造业","","",""
